time,x,y,z,gforce
0.867,0.100,0.930,0.274,0.975
0.869,0.103,0.930,0.274,0.975
0.871,0.106,0.930,0.275,0.976
0.875,0.108,0.931,0.274,0.976
0.876,0.111,0.934,0.274,0.980
0.882,0.112,0.939,0.276,0.985
0.882,0.113,0.941,0.278,0.988
0.884,0.113,0.940,0.281,0.987
0.886,0.111,0.939,0.286,0.988
0.888,0.108,0.941,0.292,0.991
0.891,0.107,0.942,0.298,0.993
0.893,0.108,0.942,0.303,0.995
0.900,0.108,0.942,0.307,0.997
0.900,0.109,0.943,0.311,0.999
0.901,0.110,0.945,0.313,1.001
0.903,0.111,0.947,0.315,1.004
0.905,0.112,0.950,0.317,1.007
0.907,0.112,0.952,0.317,1.009
0.910,0.113,0.953,0.315,1.010
0.914,0.113,0.954,0.311,1.010
0.915,0.113,0.954,0.309,1.009
0.917,0.113,0.953,0.306,1.008
0.919,0.113,0.953,0.302,1.006
0.922,0.113,0.953,0.298,1.005
0.924,0.112,0.952,0.293,1.002
0.927,0.111,0.950,0.289,0.999
0.931,0.110,0.950,0.288,0.999
0.932,0.108,0.949,0.287,0.997
0.934,0.107,0.946,0.283,0.993
0.936,0.107,0.945,0.278,0.991
0.939,0.108,0.945,0.275,0.990
0.941,0.109,0.943,0.273,0.987
0.944,0.107,0.941,0.270,0.985
0.948,0.107,0.942,0.270,0.985
0.948,0.109,0.942,0.271,0.986
0.951,0.110,0.941,0.271,0.986
0.953,0.111,0.943,0.273,0.988
0.956,0.113,0.945,0.277,0.991
0.958,0.116,0.945,0.281,0.993
0.960,0.121,0.945,0.286,0.995
0.965,0.125,0.945,0.292,0.997
0.979,0.129,0.947,0.298,1.001
0.979,0.135,0.950,0.304,1.007
0.979,0.140,0.951,0.309,1.010
0.980,0.142,0.950,0.312,1.010
0.980,0.144,0.949,0.313,1.010
0.980,0.146,0.948,0.313,1.009
0.981,0.149,0.948,0.311,1.009
0.984,0.149,0.950,0.309,1.010
0.985,0.149,0.951,0.305,1.009
0.987,0.149,0.951,0.300,1.008
0.990,0.150,0.952,0.298,1.008
0.992,0.152,0.954,0.296,1.011
0.995,0.154,0.956,0.294,1.012
1.000,0.155,0.956,0.293,1.012
1.001,0.156,0.958,0.291,1.013
1.001,0.157,0.960,0.289,1.014
1.005,0.154,0.957,0.288,1.012
1.006,0.153,0.954,0.286,1.008
1.009,0.150,0.953,0.284,1.005
1.012,0.144,0.950,0.283,1.002
1.015,0.138,0.947,0.282,0.998
1.017,0.131,0.946,0.281,0.995
1.019,0.126,0.944,0.279,0.993
1.021,0.119,0.942,0.278,0.989
1.024,0.114,0.941,0.277,0.987
1.026,0.111,0.942,0.277,0.988
1.028,0.109,0.942,0.281,0.989
1.031,0.108,0.942,0.280,0.988
1.033,0.110,0.943,0.278,0.990
1.036,0.112,0.946,0.281,0.993
1.038,0.115,0.946,0.282,0.994
1.040,0.118,0.948,0.284,0.996
1.042,0.122,0.951,0.286,1.001
1.045,0.126,0.954,0.287,1.005
1.048,0.129,0.959,0.288,1.010
1.050,0.132,0.962,0.290,1.014
1.052,0.136,0.962,0.291,1.015
1.055,0.140,0.962,0.290,1.015
1.057,0.139,0.962,0.291,1.014
1.060,0.137,0.960,0.292,1.013
1.065,0.135,0.958,0.290,1.010
1.065,0.133,0.954,0.287,1.005
1.067,0.130,0.951,0.283,1.000
1.070,0.125,0.948,0.280,0.996
1.072,0.118,0.946,0.276,0.992
1.074,0.112,0.943,0.271,0.988
1.076,0.109,0.941,0.265,0.983
1.082,0.107,0.937,0.262,0.979
1.082,0.103,0.933,0.261,0.975
1.084,0.097,0.933,0.258,0.973
1.086,0.094,0.931,0.255,0.970
1.088,0.088,0.928,0.252,0.966
1.091,0.085,0.926,0.251,0.963
1.094,0.083,0.925,0.250,0.962
1.101,0.082,0.927,0.250,0.964
1.101,0.080,0.930,0.253,0.967
1.102,0.081,0.932,0.258,0.970
1.103,0.085,0.934,0.263,0.974
1.105,0.089,0.937,0.266,0.978
1.108,0.094,0.941,0.273,0.984
1.110,0.098,0.942,0.280,0.988
1.113,0.105,0.944,0.284,0.992
1.116,0.111,0.947,0.289,0.997
1.117,0.114,0.949,0.295,1.001
1.120,0.117,0.952,0.299,1.005
1.122,0.120,0.955,0.299,1.008
1.124,0.123,0.956,0.300,1.010
1.127,0.126,0.957,0.303,1.012
1.131,0.125,0.959,0.304,1.014
1.132,0.124,0.959,0.302,1.013
1.134,0.122,0.959,0.300,1.012
1.136,0.121,0.961,0.299,1.013
1.139,0.120,0.961,0.297,1.013
1.141,0.117,0.959,0.293,1.010
1.144,0.115,0.957,0.290,1.006
1.147,0.113,0.956,0.287,1.004
1.149,0.108,0.954,0.284,1.001
1.151,0.105,0.953,0.281,0.999
1.154,0.103,0.951,0.277,0.996
1.156,0.099,0.948,0.273,0.992
1.159,0.094,0.946,0.269,0.988
1.161,0.092,0.944,0.265,0.985
1.167,0.089,0.943,0.261,0.983
1.167,0.087,0.942,0.260,0.981
1.169,0.086,0.940,0.258,0.979
1.170,0.085,0.938,0.257,0.976
1.173,0.084,0.937,0.259,0.976
1.175,0.085,0.938,0.262,0.978
1.177,0.088,0.938,0.267,0.979
1.181,0.090,0.937,0.271,0.980
1.182,0.092,0.937,0.277,0.981
1.185,0.095,0.938,0.284,0.985
1.187,0.098,0.939,0.288,0.987
1.189,0.100,0.939,0.290,0.988
1.192,0.103,0.940,0.295,0.991
1.195,0.107,0.940,0.301,0.993
1.201,0.107,0.941,0.306,0.995
1.202,0.107,0.942,0.312,0.998
1.202,0.109,0.942,0.317,1.000
1.205,0.110,0.941,0.320,1.000
1.218,0.111,0.940,0.320,0.999
1.218,0.109,0.938,0.320,0.997
1.218,0.108,0.936,0.318,0.994
1.219,0.107,0.936,0.316,0.993
1.219,0.106,0.935,0.314,0.992
1.221,0.104,0.934,0.309,0.990
1.222,0.103,0.935,0.304,0.988
1.224,0.101,0.935,0.301,0.987
1.226,0.098,0.933,0.299,0.984
1.229,0.098,0.932,0.296,0.983
1.232,0.096,0.932,0.295,0.982
1.233,0.095,0.931,0.295,0.981
1.237,0.093,0.930,0.295,0.980
1.238,0.094,0.929,0.296,0.979
1.240,0.096,0.929,0.296,0.980
1.242,0.096,0.929,0.295,0.980
1.245,0.096,0.930,0.293,0.980
1.248,0.096,0.932,0.290,0.981
1.250,0.100,0.935,0.289,0.984
1.252,0.103,0.939,0.288,0.987
1.255,0.105,0.941,0.289,0.989
1.257,0.109,0.944,0.288,0.993
1.259,0.112,0.949,0.286,0.997
1.262,0.117,0.951,0.287,1.001
1.265,0.122,0.957,0.288,1.007
1.268,0.127,0.964,0.290,1.015
1.269,0.134,0.969,0.295,1.022
1.271,0.139,0.974,0.299,1.029
1.274,0.143,0.978,0.301,1.033
1.277,0.145,0.979,0.302,1.035
1.279,0.145,0.978,0.302,1.034
1.282,0.144,0.981,0.302,1.037
1.284,0.142,0.983,0.301,1.037
1.286,0.140,0.981,0.298,1.035
1.289,0.137,0.981,0.297,1.034
1.291,0.133,0.980,0.294,1.032
1.293,0.129,0.977,0.291,1.028
1.296,0.125,0.975,0.290,1.025
1.302,0.122,0.975,0.289,1.024
1.302,0.119,0.974,0.288,1.022
1.304,0.115,0.973,0.288,1.021
1.306,0.113,0.972,0.288,1.020
1.308,0.112,0.971,0.287,1.019
1.310,0.110,0.972,0.286,1.019
1.313,0.109,0.972,0.285,1.019
1.325,0.110,0.972,0.284,1.019
1.326,0.110,0.973,0.282,1.019
1.326,0.111,0.974,0.279,1.019
1.326,0.112,0.973,0.280,1.019
1.326,0.112,0.974,0.282,1.020
1.327,0.110,0.974,0.282,1.020
1.329,0.108,0.974,0.280,1.019
1.332,0.107,0.974,0.283,1.019
1.334,0.106,0.974,0.287,1.020
1.337,0.105,0.974,0.290,1.022
1.339,0.107,0.975,0.296,1.025
1.341,0.109,0.977,0.304,1.029
1.344,0.113,0.978,0.313,1.033
1.348,0.119,0.979,0.319,1.037
1.349,0.125,0.981,0.325,1.041
1.351,0.130,0.983,0.329,1.045
1.353,0.134,0.986,0.332,1.049
1.356,0.140,0.990,0.338,1.056
1.358,0.147,0.994,0.343,1.062
1.361,0.151,0.997,0.348,1.066
1.365,0.155,0.999,0.351,1.070
1.366,0.157,0.998,0.353,1.071
1.368,0.156,0.997,0.353,1.069
1.370,0.155,0.996,0.351,1.067
1.373,0.155,0.994,0.350,1.065
1.377,0.153,0.992,0.347,1.062
1.377,0.152,0.990,0.343,1.059
1.382,0.151,0.990,0.341,1.057
1.382,0.147,0.989,0.338,1.056
1.385,0.143,0.988,0.334,1.053
1.387,0.139,0.985,0.328,1.048
1.390,0.137,0.984,0.322,1.045
1.392,0.134,0.984,0.319,1.043
1.395,0.132,0.982,0.317,1.040
1.400,0.130,0.978,0.317,1.037
1.401,0.128,0.976,0.315,1.033
1.402,0.125,0.974,0.314,1.031
1.405,0.123,0.973,0.314,1.029
1.407,0.121,0.969,0.313,1.025
1.409,0.119,0.964,0.311,1.020
1.411,0.117,0.961,0.309,1.016
1.416,0.112,0.958,0.309,1.012
1.417,0.106,0.954,0.308,1.008
1.420,0.103,0.951,0.308,1.005
1.421,0.102,0.948,0.310,1.002
1.424,0.100,0.944,0.310,0.999
1.426,0.098,0.942,0.312,0.997
1.428,0.095,0.939,0.311,0.994
1.432,0.090,0.937,0.308,0.990
1.434,0.086,0.936,0.310,0.990
1.436,0.083,0.935,0.310,0.989
1.438,0.079,0.933,0.310,0.986
